Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"J4","SW","PinHeader_1x02_P2.54mm_Vertical",127.560000,-97.000000,-90.000000,bottom
"J7","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",147.720000,-120.200000,-90.000000,bottom
"SW1","EN","SW_PUSH_6mm_H5mm",143.900000,-100.900000,180.000000,bottom
"SW2","BOOT","SW_PUSH_6mm_H5mm",161.000000,-104.200000,180.000000,bottom
"C1","1uF","C_0402_1005Metric",146.700000,-92.100000,90.000000,top
"C2","1uF","C_0402_1005Metric",140.600000,-93.120000,-90.000000,top
"C3","1uF","C_0402_1005Metric",145.700000,-97.450000,-90.000000,top
"C4","0.1uF","C_0402_1005Metric",168.300000,-106.200000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",168.600000,-98.500000,0.000000,top
"C6","10uF","C_0603_1608Metric",139.400000,-93.300000,-90.000000,top
"C7","10uF","C_0603_1608Metric",144.725000,-91.100000,0.000000,top
"D1","SS14","D_SMA",134.700000,-106.900000,-90.000000,top
"D2","SS14","D_SMA",135.100000,-93.400000,180.000000,top
"J1","SPK_L","JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal",172.350000,-101.700000,90.000000,top
"J2","SPK_R","JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal",172.350000,-110.100000,90.000000,top
"J3","USB","USB_C_Receptacle_G-Switch_GT-USB-7051x",138.050000,-115.450000,-90.000000,top
"J6","BATT","JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal",127.500000,-101.600000,0.000000,top
"Q1","Q_NMOS_GSD","SOT-23",143.262500,-96.950000,0.000000,top
"Q2","Q_NMOS_GSD","SOT-23",139.362500,-96.950000,180.000000,top
"R1","210K","R_0402_1005Metric",167.200000,-106.140000,-90.000000,top
"R2","5K1","R_0402_1005Metric",141.800000,-113.560000,-90.000000,top
"R3","5K1","R_0402_1005Metric",134.300000,-115.850000,-90.000000,top
"R4","5K1","R_0402_1005Metric",146.700000,-97.450000,-90.000000,top
"R5","10K","R_0402_1005Metric",146.200000,-93.500000,0.000000,top
"R6","10K","R_0402_1005Metric",146.200000,-94.500000,180.000000,top
"U1","MAX98357A","WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm",167.800000,-100.700000,0.000000,top
"U2","MAX98357A","WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm",167.800000,-108.850000,0.000000,top
"U3","ESP32","ESP32-MINI-1",154.100000,-95.750000,0.000000,top
"U4","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",147.945000,-111.400000,90.000000,top
"U5","XC6210B332MR","SOT-23-5",143.162500,-93.550000,0.000000,top
